lon,lat,preydiv
168329.9,-116109,0.513
168329.9,-166109,0.503
168329.9,-216109,0.512
168329.9,-266109,0.533
168329.9,-316109,0.557
168329.9,-366109,0.575
168329.9,-416109,0.597
168329.9,-466109,0.652
168329.9,-66109,0.555
218329.9,-116109,0.559
218329.9,-166109,0.561
218329.9,-216109,0.56
218329.9,-266109,0.555
218329.9,-316109,0.554
218329.9,-366109,0.56
218329.9,-416109,0.579
218329.9,-466109,0.628
218329.9,-66109,0.545
268329.9,-116109,0.547
268329.9,-166109,0.546
268329.9,-216109,0.547
268329.9,-266109,0.551
268329.9,-316109,0.565
268329.9,-366109,0.582
268329.9,-416109,0.605
268329.9,-466109,0.631
268329.9,-66109,0.559
318329.9,-116109,0.543
318329.9,-166109,0.544
318329.9,-216109,0.556
318329.9,-266109,0.575
318329.9,-316109,0.595
318329.9,-366109,0.616
318329.9,-416109,0.643
318329.9,-466109,0.677
318329.9,-66109,0.55
368329.9,-116109,0.642
368329.9,-166109,0.627
368329.9,-216109,0.611
368329.9,-266109,0.61
368329.9,-316109,0.622
368329.9,-366109,0.633
368329.9,-416109,0.655
368329.9,-466109,0.693
368329.9,-66109,0.633
418329.9,-116109,0.657
418329.9,-166109,0.681
418329.9,-216109,0.652
418329.9,-266109,0.639
418329.9,-316109,0.642
418329.9,-366109,0.648
418329.9,-416109,0.662
418329.9,-466109,0.689
418329.9,-66109,0.691
468329.9,-116109,0.657
468329.9,-166109,0.657
468329.9,-216109,0.691
468329.9,-266109,0.699
468329.9,-316109,0.7
468329.9,-366109,0.693
468329.9,-416109,0.689
468329.9,-466109,0.693
468329.9,-66109,1
518329.9,-116109,1
518329.9,-166109,1
518329.9,-216109,0.678
518329.9,-266109,0.703
518329.9,-316109,0.71
518329.9,-366109,0.71
518329.9,-416109,0.722
518329.9,-466109,0.728
518329.9,-66109,1